表题,基本信息,地区,价格
谷山乐园(一期) 2室2厅1卫,"2室2厅2卫,80㎡,南北向,精装修",距4号线福元大桥西地铁站步行1178m,1600元/月
兴和佳苑 1室0厅1卫,"1室1卫,121㎡,南北向,精装修",距1号线桂花坪地铁站步行1438m,980元/月
上海城 2室2厅1卫,"2室2厅2卫,95.60㎡,南向,精装修",,2200元/月
创元时代 1室1厅1卫,"1室1厅1卫,30㎡,南北向,精装修",距5号线板塘冲地铁站步行60m,1000元/月
长房UP年代 1室1厅1卫,"1室1厅1卫,47㎡,南北向,精装修",,1450元/月
嘉宇银杉 3室2厅2卫,"3室2厅3卫,109.50㎡,南北向,豪华装修",距4号线湘江新城地铁站步行482m,2350元/月
润和紫郡 5室2厅2卫,"5室2厅5卫,144㎡,南向,精装修",,2800元/月
卧龙居国际村 1室厅1卫,"1室1卫,45㎡,南北向,豪华装修",距3号线星沙地铁站步行1696m,600元/月
红星嘉和苑 3室 2厅2卫,"3室2厅3卫,110㎡,南向,精装修",,2500元/月
洞井商贸城 1室1厅1卫,"1室1厅1卫,50㎡,南向,精装修",,650元/月
湘华小区 1室1厅1卫,"1室1厅1卫,30㎡,南北向,精装修",距2号线望城坡地铁站步行961m,1000元/月
碧桂园公园壹号(别墅) 5室2厅3卫,"5室2厅5卫,218㎡,南北向,豪华装修",,3500元/月
保利花园 3室2厅2卫,"3室2厅3卫,100.46㎡,南北向,豪华装修",,3500元/月
陈家湖社区 1室1厅1卫,"1室1厅1卫,35㎡,南向,精装修",距1号线北辰三角洲地铁站步行594m,1150元/月
鑫天花园 4室2厅2卫,"4室2厅4卫,153㎡,南向",距4号线赤岗岭地铁站步行1506m,2500元/月
月桂社区 2室1厅1卫,"2室1厅2卫,50㎡,东北向,精装修",距5号线火炬村地铁站步行1161m,1300元/月
中华岭村 1室1厅1卫,"1室1厅1卫,45㎡,南向,精装修",距4号线罐子岭地铁站步行1819m,950元/月
钰龙天下 1室1厅1卫,"1室1厅1卫,48㎡,西向",,1800元/月
麓阳和景雅苑 1室厅1卫,"1室1卫,28㎡,南向,精装修",距2号线梅溪湖东地铁站步行153m,1000元/月
北辰凤凰天阶苑B1E1区 1室1厅1卫,"1室1厅1卫,30㎡,南向,精装修",距1号线北辰三角洲地铁站步行257m,1299元/月
卓越浅水湾 1室1厅1卫,"1室1厅1卫,50㎡,西南向",距2号线梅溪湖西地铁站步行1200m,2300元/月
长沙农村商业银行宿舍(纬一路) 2室1厅1卫,"2室1厅2卫,68㎡,南向",距2号线锦泰广场地铁站步行945m,1450元/月
建行宿舍(窑岭) 2室1厅1卫,"2室1厅2卫,66㎡,南向,精装修",距3号线朝阳村地铁站步行968m,1800元/月
华府一航线 3室2厅1卫,"3室2厅3卫,95㎡,南向,精装修",距3号线四方坪地铁站步行288m,2500元/月
金领家族 2室1厅1卫,"2室1厅2卫,55㎡,南向,精装修",,1500元/月
金地香樟悦府 4室 2厅2卫,"4室2厅4卫,142㎡,南北向,精装修",,3500元/月
诚兴园 1室 1厅1卫,"1室1厅1卫,32㎡,南向,精装修",,1000元/月
鑫泰科技大厦 1室1厅1卫,"1室1厅1卫,25㎡,南向",距3号线朝阳村地铁站步行1177m,1000元/月
朝阳二村 2室1厅1卫,"2室1厅2卫,70㎡,南北向,精装修",距3号线朝阳村地铁站步行652m,1500元/月
向韶村 2室2厅1卫,"2室2厅2卫,60㎡,南向",距2号线袁家岭地铁站步行261m,1500元/月
北辰三角洲奥城E3 1室1厅1卫,"1室1厅1卫,50㎡,南向,豪华装修",距1号线北辰三角洲地铁站步行687m,2700元/月
宁乡印象东城 1室1厅1卫,"1室1厅1卫,48㎡,南北向,精装修",,1000元/月
乾城 2室2厅1卫,"2室2厅2卫,76㎡,东向,精装修",距1号线涂家冲地铁站步行1571m,2600元/月
中南大学建设新村 3室1厅1卫,"3室1厅3卫,75㎡,南向,精装修",,2600元/月
长沙师范教工宿舍 1室1厅1卫,"1室1厅1卫,53㎡,西向",距1号线培元桥地铁站步行956m,1900元/月
卓越浅水湾 3室2厅2卫,"3室2厅3卫,108㎡,南向",距2号线梅溪湖西地铁站步行1200m,3200元/月
亚商大厦 1室1厅1卫,"1室1厅1卫,50㎡,南向,精装修",,1450元/月
达美溪湖湾 5室2厅2卫,"5室2厅5卫,196㎡,南北向",距2号线麓云路地铁站步行343m,7000元/月
东盈商业广场 2室1厅1卫,"2室1厅2卫,45㎡,南向,精装修",距5号线马王堆地铁站步行489m,2800元/月
水木兰庭 1室1厅1卫,"1室1厅1卫,37㎡,南向,精装修",,1000元/月
上海城 2室1厅1卫,"2室1厅2卫,57㎡,南向,豪华装修",,2100元/月
恒大雅苑 3室2厅2卫,"3室2厅3卫,126㎡,西向,精装修",,2000元/月
五江天街(北区) 1室1厅1卫,"1室1厅1卫,40㎡,南向,精装修",距5号线木桥地铁站步行418m,1500元/月
桔香苑 4室2厅2卫,"4室2厅4卫,145㎡,南向,精装修",距1号线涂家冲地铁站步行1907m,2400元/月
光大发展大厦 4室2厅2卫,"4室2厅4卫,144.22㎡,东南向,精装修",距1号线南湖路地铁站步行279m,5000元/月
明发国际城 1室厅1卫,"1室1卫,45㎡,南向,精装修",距4号线月亮岛西地铁站步行868m,920元/月
星城新宇川河苑 3室2厅1卫,"3室2厅3卫,100㎡,东向,简单装修",,5000元/月
达美美立方 1室1厅1卫,"1室1厅1卫,35㎡,南向,精装修",距2号线文化艺术中心地铁站步行212m,1900元/月
谋房博客 3室2厅1卫,"3室2厅3卫,100㎡,南向,精装修",距2号线金星路地铁站步行1799m,2700元/月
车塘河小区 2室 1厅1卫,"2室1厅2卫,70㎡,南向,精装修",,900元/月
麓谷锦和园 1室1厅1卫,"1室1厅1卫,40㎡,南向,精装修",,1150元/月
福晟钱隆世家 2室2厅1卫,"2室2厅2卫,89㎡,南向,精装修",,2000元/月
洞井商贸城 5室2厅2卫,"5室2厅5卫,168㎡,南向,精装修",,1600元/月
白沙晶城 1室1厅1卫,"1室1厅1卫,46㎡,西向,精装修",距3号线侯家塘地铁站步行635m,2100元/月
红星建材交易市场 2室1厅1卫,"2室1厅2卫,50㎡,南北向,精装修",,1000元/月
侯家塘小区 4室2厅1卫,"4室2厅4卫,106㎡,南向,精装修",距3号线侯家塘地铁站步行666m,2500元/月
湘江世纪城达江苑 2室1厅1卫,"2室1厅2卫,60㎡,南向",距1号线开福区政府地铁站步行1255m,2000元/月
和康园小区 1室厅1卫,"1室1卫,30㎡,南向",,900元/月
星月小区 1室0厅1卫,"1室1卫,35㎡,南向,精装修",距4号线罐子岭地铁站步行734m,850元/月
保利香槟国际 3室2厅1卫,"3室2厅3卫,87㎡,南向,毛坯",距5号线土桥地铁站步行1100m,2000元/月
鑫园小区 1室厅1卫,"1室1卫,45㎡,南北向,简单装修",距4号线碧沙湖地铁站步行883m,850元/月
仁和花园 1室厅1卫,"1室1卫,40㎡,南向",,600元/月
南家塘社区 1室1厅1卫,"1室1厅1卫,55㎡,东向,精装修",距2号线望城坡地铁站步行591m,1100元/月
香芙嘉园 2室2厅1卫,"2室2厅2卫,83㎡,南向,精装修",,1680元/月
中建木莲工社 2室1厅1卫,"2室1厅2卫,75㎡,东南向,精装修",,2100元/月
城西公寓 1室0厅1卫,"1室1卫,45㎡,南向,精装修",距2号线望城坡地铁站步行951m,1488元/月
香山国际名苑 1室1厅1卫,"1室1厅1卫,48㎡,南向",,900元/月
五峰国际 1室1厅1卫,"1室1厅1卫,35㎡,南向,精装修",距5号线大塘地铁站步行1943m,1500元/月
润和紫郡 1室0厅1卫,"1室1卫,38㎡,南向,简单装修",,866元/月
四方商贸城 1室1厅1卫,"1室1厅1卫,30㎡,南向,精装修",距3号线四方坪地铁站步行503m,700元/月
金地自在城 2室1厅1卫,"2室1厅2卫,75㎡,南向,简单装修",,1000元/月
新月小区 1室1厅1卫,"1室1厅1卫,40㎡,南向,简单装修",距4号线罐子岭地铁站步行760m,900元/月
